,Month,Year,Type,Area,Sex,Fatal (Y/N)
210,December,2009,Provoked,New Jersey,M,N
211,July,2009,Unprovoked,Texas,F,N
212,July,2009,Unprovoked,North Carolina,F,N
213,July,2008,Provoked,Florida,M,N
214,December,2007,Unprovoked,Hawaii,M,N
215,November,2007,Unprovoked,Florida,M,N
216,January,2007,Unprovoked,Hawaii,M,N
217,November,2006,Unprovoked,Hawaii,M,N
218,October,2006,Unprovoked,Texas,M,N
219,August,2005,Unprovoked,South Carolina,M,N
220,July,2005,Unprovoked,Florida,F,N
221,September,2004,Unprovoked,Oregon,M,N
222,June,2004,Unprovoked,Florida,M,N
223,March,2004,Unprovoked,Hawaii,M,N
224,October,2003,Unprovoked,Hawaii,F,N
225,September,2003,Unprovoked,Florida,M,N
226,April,2003,Unprovoked,Florida,M,N
227,September,2002,Unprovoked,Hawaii,M,N
228,September,2002,Unprovoked,Florida,M,N
229,August,2001,Unprovoked,Florida,M,N
230,April,2001,Unprovoked,Florida,M,N
231,July,2000,Unprovoked,Florida,F,N
232,July,1999,Unprovoked,Florida,M,N
233,October,1998,Unprovoked,Florida,F,N
234,August,1997,Unprovoked,Florida,M,N
235,January,1994,Unprovoked,Hawaii,M,Y
236,September,1989,Unprovoked,California,M,N
237,November,1986,Unprovoked,Florida,M,N
238,August,1985,Unprovoked,South Carolina,M,N
239,May,1983,Unprovoked,Florida,M,N
240,September,1982,Unprovoked,California,M,N
241,September,1982,Unprovoked,California,M,N
242,January,1976,Unprovoked,Hawaii,M,Y
243,May,1972,Unprovoked,California,M,N
244,October,1963,Unprovoked,Florida,M,N
245,August,1962,Unprovoked,Texas,M,Y
246,July,1962,Unprovoked,Georgia,M,N
247,August,1960,Unprovoked,Connecticut,M,N
248,May,1955,Provoked,California,M,N
249,May,1952,Unprovoked,California,M,N
250,December,2021,Unprovoked,Florida,F,N
251,June,2021,Unprovoked,Florida,M,N
252,April,2020,Unprovoked,Florida,F,N
253,November,2019,Unprovoked,Florida,M,N
254,September,2018,Unprovoked,Florida,M,N
255,March,2015,Unprovoked,Hawaii,M,N
256,January,2014,Unprovoked,Hawaii,M,N
257,June,2012,Unprovoked,South Carolina,F,N
258,May,2012,Unprovoked,North Carolina,F,N
259,June,2010,Unprovoked,South Carolina,F,N
260,October,2009,Unprovoked,California,M,N
261,July,2008,Unprovoked,Florida,M,N
262,April,2008,Unprovoked,Florida,F,N
263,March,2008,Unprovoked,Florida,M,N
264,November,2007,Unprovoked,Florida,M,N
265,August,2007,Unprovoked,California,M,N
266,September,2006,Unprovoked,Florida,M,N
267,March,2004,Unprovoked,Florida,M,N
268,October,2003,Unprovoked,Hawaii,F,N
269,May,2003,Unprovoked,Hawaii,M,N
270,August,2001,Unprovoked,Florida,M,N
271,September,1999,Unprovoked,Florida,F,N
272,June,1998,Unprovoked,Florida,M,N
273,September,1997,Unprovoked,Florida,M,N
274,July,1995,Unprovoked,South Carolina,F,N
275,June,1995,Unprovoked,South Carolina,M,N
276,June,1993,Unprovoked,North Carolina,F,N
277,June,1991,Unprovoked,Florida,M,N
278,October,1986,Unprovoked,Florida,M,N
279,May,1985,Unprovoked,California,M,N
280,September,1984,Unprovoked,California,M,N
281,May,1981,Unprovoked,Florida,M,N
282,July,1980,Unprovoked,New Jersey,M,N
283,September,1976,Unprovoked,Florida,M,N
284,September,1970,Unprovoked,Florida,M,N
285,April,1966,Unprovoked,Puerto Rico,M,N
286,August,1961,Unprovoked,South Carolina,M,N
287,July,1959,Unprovoked,California,M,N
288,July,1956,Unprovoked,Florida,F,N
289,February,1955,Unprovoked,California,M,N
290,January,1954,Unprovoked,Hawaii,M,N
291,September,1953,Provoked,New York,M,N
292,July,1953,Unprovoked,Hawaii,M,N
293,August,1952,Unprovoked,Hawaii,M,Y
294,June,2023,Unprovoked,Hawaii,M,N
295,October,2022,Unprovoked,Louisiana,M,N
296,June,2022,Unprovoked,Florida,F,N
297,July,2021,Unprovoked,Florida,M,N
298,August,2020,Provoked,Florida,M,N
299,May,2020,Unprovoked,California,M,Y
300,July,2019,Unprovoked,Florida,M,N
301,June,2019,Unprovoked,North Carolina,F,N
302,August,2018,Unprovoked,California,M,N
303,May,2018,Unprovoked,South Carolina,M,N
304,April,2018,Unprovoked,Hawaii,M,N
305,April,2017,Unprovoked,Florida,F,N
306,December,2016,Unprovoked,Florida,M,N
307,November,2016,Unprovoked,Hawaii,F,N
308,July,2016,Unprovoked,California,M,N
309,June,2016,Unprovoked,Hawaii,M,N
310,June,2016,Unprovoked,Texas,F,N
311,November,2015,Unprovoked,Florida,F,N
312,September,2015,Unprovoked,Florida,M,N
313,October,2013,Unprovoked,Florida,M,N
314,September,2013,Unprovoked,Florida,M,N
315,November,2012,Unprovoked,Hawaii,M,N
316,June,2012,Unprovoked,South Carolina,M,N
317,September,2010,Unprovoked,Oregon,M,N
318,July,2010,Unprovoked,Florida,M,N
319,June,2010,Unprovoked,North Carolina,F,N
320,May,2010,Unprovoked,Florida,F,N
321,September,2008,Unprovoked,Florida,M,N
322,March,2008,Unprovoked,Florida,M,N
323,October,2006,Unprovoked,Florida,M,N
324,October,2006,Unprovoked,Florida,M,N
325,December,2005,Unprovoked,Oregon,M,N
326,October,2005,Unprovoked,Hawaii,M,N
327,October,2004,Unprovoked,California,M,N
328,September,2002,Provoked,Florida,M,N
329,July,2001,Unprovoked,Georgia,M,N
330,July,2000,Unprovoked,Florida,F,N
331,May,1996,Unprovoked,Florida,M,N
332,November,1993,Unprovoked,Florida,M,N
333,October,1993,Unprovoked,California,M,N
334,July,1993,Unprovoked,Florida,F,N
335,August,1991,Unprovoked,South Carolina,M,N
336,August,1991,Unprovoked,Florida,F,N
337,April,1988,Unprovoked,Florida,M,N
338,October,1980,Unprovoked,Oregon,M,N
339,January,1978,Unprovoked,Florida,F,N
340,August,1969,Provoked,Massachusetts,M,N
341,August,1968,Unprovoked,Florida,M,N
342,July,1968,Unprovoked,South Carolina,M,N
343,February,1968,Unprovoked,Florida,M,N
344,November,1963,Provoked,Florida,M,N
345,January,1962,Unprovoked,California,M,N
346,August,1961,Unprovoked,Hawaii,M,N
347,July,1960,Provoked,Virginia,M,N
348,November,1959,Unprovoked,California,M,N
349,August,1959,Provoked,California,M,N
350,August,1956,Unprovoked,California,M,N
351,July,1956,Provoked,California,M,N
352,September,1955,Unprovoked,California,M,N
353,April,2023,Unprovoked,Hawaii,M,N
354,August,2022,Unprovoked,California,M,N
355,July,2022,Unprovoked,New York,M,N
356,December,2020,Unprovoked,California,M,N
357,October,2019,Provoked,Florida,M,N
358,November,2018,Unprovoked,Florida,M,N
359,September,2017,Unprovoked,Florida,M,N
360,April,2017,Unprovoked,Florida,F,N
361,October,2016,Unprovoked,Hawaii,M,N
362,September,2016,Unprovoked,Florida,M,N
363,April,2016,Unprovoked,Florida,M,N
364,October,2015,Unprovoked,Florida,M,N
365,September,2015,Unprovoked,Florida,M,N
366,August,2015,Provoked,California,M,N
367,July,2014,Unprovoked,North Carolina,M,N
368,May,2014,Unprovoked,Florida,F,N
369,December,2012,Unprovoked,Hawaii,M,N
370,March,2012,Unprovoked,Florida,M,N
371,September,2011,Unprovoked,Florida,M,N
372,September,2011,Unprovoked,Florida,M,N
373,July,2010,Unprovoked,Texas,M,N
374,November,2009,Unprovoked,Florida,M,N
375,September,2008,Unprovoked,Florida,M,N
376,July,2008,Unprovoked,North Carolina,F,N
377,June,2008,Unprovoked,South Carolina,F,N
378,April,2008,Unprovoked,Florida,M,N
379,October,2007,Unprovoked,California,M,N
380,September,2007,Unprovoked,California,M,N
381,July,2007,Unprovoked,Florida,M,N
382,July,2006,Unprovoked,Oregon,M,N
383,September,2005,Unprovoked,North Carolina,F,N
384,June,2003,Unprovoked,Florida,F,N
385,April,2003,Unprovoked,Florida,M,N
386,May,2002,Unprovoked,California,M,N
387,April,2002,Unprovoked,Florida,M,N
388,October,2000,Unprovoked,Florida,M,N
