,Month,Year,Type,Area,Sex,Fatal (Y/N)
1241,August,1975,Unprovoked,California,M,N
1242,July,1975,Unprovoked,California,M,N
1243,June,1972,Unprovoked,Florida,M,N
1244,August,1967,Provoked,California,M,N
1245,August,1965,Unprovoked,New Jersey,M,N
1246,June,1962,Unprovoked,Florida,M,N
1247,November,1954,Unprovoked,Wake Island,M,N
1248,July,2023,Unprovoked,Florida,M,N
1249,July,2023,Unprovoked,New York,M,N
1250,December,2022,Unprovoked,Texas,M,N
1251,September,2021,Unprovoked,Louisiana,M,N
1252,July,2020,Unprovoked,North Carolina,M,N
1253,May,2019,Unprovoked,Hawaii,M,Y
1254,July,2018,Unprovoked,Florida,M,N
1255,October,2017,Unprovoked,Hawaii,M,N
1256,September,2016,Unprovoked,Florida,M,N
1257,July,2016,Provoked,Florida,M,N
1258,May,2016,Unprovoked,Florida,M,N
1259,August,2014,Unprovoked,Florida,M,N
1260,May,2014,Unprovoked,Florida,M,N
1261,December,2013,Unprovoked,Florida,M,N
1262,July,2012,Unprovoked,North Carolina,F,N
1263,September,2010,Unprovoked,Virginia,M,N
1264,September,2010,Unprovoked,Florida,M,N
1265,July,2010,Unprovoked,California,M,N
1266,August,2009,Unprovoked,Louisiana,M,N
1267,July,2008,Unprovoked,Hawaii,M,N
1268,March,2008,Unprovoked,Florida,M,N
1269,September,2007,Unprovoked,Florida,M,N
1270,September,2007,Unprovoked,South Carolina,M,N
1271,August,2007,Provoked,Delaware,M,N
1272,September,2006,Unprovoked,Florida,M,N
1273,July,2005,Unprovoked,North Carolina,M,N
1274,February,2005,Unprovoked,Florida,M,N
1275,July,2003,Unprovoked,Florida,M,N
1276,June,2003,Unprovoked,Florida,M,N
1277,September,2001,Provoked,Florida,M,N
1278,May,2001,Unprovoked,South Carolina,M,N
1279,April,2001,Unprovoked,Florida,M,N
1280,November,1999,Unprovoked,California,M,N
1281,August,1999,Unprovoked,South Carolina,M,N
1282,September,1998,Unprovoked,Florida,M,N
1283,September,1998,Unprovoked,Florida,M,N
1284,October,1996,Unprovoked,Florida,M,N
1285,November,1992,Unprovoked,Florida,M,N
1286,November,1992,Unprovoked,Hawaii,M,Y
1287,October,1992,Unprovoked,Hawaii,M,N
1288,August,1990,Unprovoked,California,M,N
1289,January,1990,Unprovoked,California,M,N
1290,September,1988,Unprovoked,Florida,M,Y
1291,June,1988,Unprovoked,Florida,M,N
1292,April,1988,Unprovoked,Florida,M,N
1293,May,1983,Unprovoked,Florida,M,N
1294,September,1981,Unprovoked,Florida,M,N
1295,September,1976,Unprovoked,Florida,M,Y
1296,March,1976,Unprovoked,Florida,M,N
1297,October,1972,Unprovoked,US Virgin Islands,M,Y
1298,March,1972,Unprovoked,Hawaii,M,N
1299,July,1963,Unprovoked,Florida,M,N
1300,July,1963,Provoked,Mississippi,M,N
1301,February,1961,Provoked,Pennsylvania,M,N
1302,August,1960,Unprovoked,South Carolina,M,Y
1303,July,1960,Unprovoked,Mississippi,M,N
1304,June,1960,Provoked,South Carolina,M,N
1305,April,1960,Unprovoked,California,M,N
1306,July,1959,Provoked,Florida,M,N
1307,January,1956,Provoked,Virginia,M,N
1308,June,1955,Unprovoked,Rhode Island,M,N
1309,April,1953,Unprovoked,Texas,F,N
1310,May,2023,Provoked,Hawaii,M,N
1311,October,2022,Unprovoked,California,M,N
1312,March,2022,Provoked,Florida,M,N
1313,February,2022,Unprovoked,Florida,M,N
1314,December,2020,Unprovoked,Hawaii,M,Y
1315,August,2020,Unprovoked,South Carolina,M,N
1316,July,2020,Unprovoked,Florida,F,N
1317,July,2019,Unprovoked,Florida,M,N
1318,March,2019,Unprovoked,Florida,M,N
1319,August,2018,Unprovoked,North Carolina,M,N
1320,August,2018,Unprovoked,Texas,M,N
1321,July,2018,Unprovoked,Florida,M,N
1322,March,2016,Unprovoked,Florida,M,N
1323,January,2016,Unprovoked,Hawaii,F,N
1324,September,2015,Unprovoked,California,F,N
1325,November,2014,Unprovoked,Hawaii,M,N
1326,September,2013,Unprovoked,Florida,F,N
1327,October,2012,Unprovoked,Hawaii,F,N
1328,June,2012,Unprovoked,North Carolina,F,N
1329,October,2011,Unprovoked,Oregon,M,N
1330,August,2011,Unprovoked,North Carolina,F,N
1331,December,2010,Unprovoked,Hawaii,M,N
1332,December,2010,Unprovoked,Hawaii,M,N
1333,August,2009,Unprovoked,California,F,N
1334,August,2009,Unprovoked,Hawaii,M,N
1335,May,2007,Unprovoked,South Carolina,F,N
1336,May,2007,Provoked,Virginia,F,N
1337,July,2006,Unprovoked,Florida,M,N
1338,July,2006,Unprovoked,Florida,M,N
1339,November,2005,Unprovoked,California,M,N
1340,July,2004,Unprovoked,North Carolina,F,N
1341,April,2004,Unprovoked,Hawaii,M,Y
1342,November,2003,Unprovoked,Florida,F,N
1343,October,2003,Unprovoked,Florida,M,N
1344,November,2002,Unprovoked,Florida,M,N
1345,October,2002,Unprovoked,Hawaii,F,N
1346,September,2002,Provoked,Florida,M,N
1347,August,2002,Unprovoked,Florida,M,N
1348,July,2002,Provoked,Florida,M,N
1349,September,2001,Unprovoked,North Carolina,M,Y
1350,April,2001,Unprovoked,Florida,M,N
1351,October,2000,Unprovoked,Hawaii,F,N
1352,July,2000,Unprovoked,North Carolina,M,N
1353,June,2000,Unprovoked,Alabama,M,N
1354,August,1999,Unprovoked,Florida,M,N
1355,March,1999,Unprovoked,Hawaii,M,N
1356,September,1997,Unprovoked,Florida,M,N
1357,August,1997,Unprovoked,Florida,M,N
1358,May,1997,Unprovoked,Florida,M,N
1359,September,1994,Unprovoked,Oregon,M,N
1360,November,1991,Unprovoked,Hawaii,F,N
1361,July,1991,Unprovoked,Virginia,M,N
1362,June,1988,Unprovoked,North Carolina,M,N
1363,May,1988,Unprovoked,Florida,M,N
1364,December,1987,Unprovoked,Florida,M,N
1365,September,1984,Unprovoked,Florida,M,N
1366,July,1984,Unprovoked,Texas,F,N
1367,June,1982,Unprovoked,Hawaii,M,N
1368,August,1981,Provoked,Florida,M,N
1369,July,1981,Unprovoked,Florida,M,N
1370,June,1978,Unprovoked,Florida,M,N
1371,November,1976,Unprovoked,Florida,M,N
1372,September,1972,Unprovoked,California,M,N
1373,October,1971,Unprovoked,California,M,N
1374,January,1971,Unprovoked,California,M,N
1375,July,1957,Unprovoked,North Carolina,M,Y
1376,January,1957,Unprovoked,Florida,M,N
1377,August,1954,Provoked,New Jersey,M,N
1378,October,2022,Unprovoked,California,M,N
1379,July,2022,Unprovoked,Florida,M,N
1380,February,2022,Unprovoked,California,M,Y
1381,October,2021,Unprovoked,California,M,N
1382,April,2021,Unprovoked,Hawaii,F,N
1383,March,2021,Unprovoked,Florida,M,N
1384,July,2020,Unprovoked,Florida,M,N
1385,May,2019,Unprovoked,New Jersey,M,N
1386,April,2019,Unprovoked,Hawaii,F,N
1387,July,2018,Unprovoked,Florida,M,N
1388,October,2017,Unprovoked,Florida,F,N
1389,October,2016,Unprovoked,Oregon,M,N
1390,August,2016,Unprovoked,Florida,M,N
1391,March,2016,Unprovoked,Hawaii,F,N
1392,June,2015,Unprovoked,North Carolina,F,N
1393,June,2015,Unprovoked,Florida,M,N
1394,October,2014,Unprovoked,Florida,F,N
1395,September,2014,Unprovoked,Florida,M,N
1396,August,2014,Provoked,Florida,M,N
1397,August,2014,Unprovoked,Florida,F,N
1398,August,2013,Unprovoked,Hawaii,F,Y
1399,July,2013,Unprovoked,Hawaii,M,N
1400,September,2012,Unprovoked,Florida,M,N
1401,June,2011,Unprovoked,North Carolina,F,N
1402,August,2010,Unprovoked,Florida,F,N
1403,April,2010,Provoked,Florida,M,N
1404,April,2009,Unprovoked,Florida,M,N
1405,July,2008,Unprovoked,Hawaii,F,N
1406,June,2008,Unprovoked,Florida,M,N
1407,April,2008,Unprovoked,Florida,M,N
1408,March,2008,Unprovoked,Florida,M,N
1409,September,2007,Unprovoked,Florida,F,N
1410,September,2007,Unprovoked,Florida,F,N
1411,May,2006,Unprovoked,Florida,F,N
1412,April,2006,Unprovoked,Florida,M,N
1413,October,2005,Unprovoked,California,M,N
1414,March,2003,Provoked,Florida,F,N
1415,September,2002,Unprovoked,Florida,M,N
1416,April,2002,Unprovoked,Florida,M,N
1417,January,2002,Unprovoked,Hawaii,M,N
1418,May,2001,Unprovoked,Florida,M,N
1419,August,1998,Unprovoked,California,M,N
1420,January,1998,Unprovoked,Virginia,M,N
1421,June,1997,Unprovoked,Florida,M,N
1422,November,1992,Unprovoked,Florida,M,N
1423,September,1989,Provoked,California,M,N
1424,August,1983,Unprovoked,Oregon,M,N
1425,August,1983,Unprovoked,Virginia,F,N
1426,February,1982,Unprovoked,Hawaii,F,N
1427,August,1977,Unprovoked,California,M,N
1428,January,1976,Unprovoked,Florida,M,N
1429,May,1974,Unprovoked,California,M,N
1430,August,1972,Unprovoked,Florida,M,N
1431,October,1971,Unprovoked,Florida,M,N
1432,October,1970,Unprovoked,Hawaii,M,N
1433,June,1970,Provoked,Florida,M,N
1434,November,1962,Unprovoked,California,M,N
1435,July,1962,Provoked,California,M,N
1436,April,1959,Unprovoked,Hawaii,M,N
1437,July,1958,Provoked,Florida,M,N
1438,August,1955,Provoked,South Carolina,M,N
1439,October,2021,Unprovoked,Florida,M,N
1440,October,2021,Unprovoked,Florida,M,N
1441,May,2021,Unprovoked,South Carolina,M,N
1442,May,2021,Unprovoked,Hawaii,M,N
1443,October,2020,Unprovoked,Florida,M,N
1444,August,2020,Unprovoked,Virgin Islands,F,N
1445,August,2019,Unprovoked,Florida,F,N
1446,August,2019,Unprovoked,Florida,M,N
1447,October,2018,Unprovoked,Florida,F,N
1448,June,2017,Unprovoked,Florida,M,N
1449,July,2016,Unprovoked,South Carolina,M,N
1450,October,2015,Unprovoked,Hawaii,M,N
1451,June,2015,Unprovoked,Florida,M,N
1452,October,2014,Unprovoked,South Carolina,F,N
1453,October,2014,Unprovoked,California,M,N
1454,November,2013,Unprovoked,Oregon,M,N
1455,October,2013,Unprovoked,California,M,N
1456,June,2013,Unprovoked,Hawaii,M,N
1457,November,2012,Unprovoked,Florida,M,N
1458,September,2012,Unprovoked,Florida,F,N
1459,June,2012,Provoked,Florida,M,N
1460,June,2012,Unprovoked,Florida,F,N
1461,February,2012,Provoked,Florida,M,N
1462,August,2011,Unprovoked,Florida,M,N
1463,February,2010,Unprovoked,Florida,M,Y
1464,July,2009,Unprovoked,California,M,N
1465,April,2009,Unprovoked,California,M,N
1466,March,2008,Unprovoked,California,M,N
1467,September,2007,Unprovoked,Florida,F,N
1468,August,2007,Unprovoked,Florida,M,N
1469,May,2007,Unprovoked,Florida,M,N
1470,October,2002,Unprovoked,Florida,M,N
1471,June,2001,Provoked,California,M,N
1472,September,2000,Unprovoked,Florida,F,N
1473,August,2000,Unprovoked,Florida,M,N
1474,August,2000,Unprovoked,Florida,M,N
1475,July,2000,Unprovoked,North Carolina,M,N
1476,October,1999,Unprovoked,Florida,M,N
1477,October,1998,Unprovoked,Florida,M,N
1478,May,1998,Unprovoked,Florida,F,N
1479,September,1996,Unprovoked,Florida,M,N
1480,October,1995,Unprovoked,Florida,M,N
1481,June,1995,Unprovoked,Georgia,M,N
1482,December,1993,Unprovoked,Hawaii,M,Y
1483,March,1993,Unprovoked,Florida,M,N
1484,September,1992,Unprovoked,Oregon,M,N
1485,November,1991,Provoked,Florida,M,N
1486,October,1991,Unprovoked,California,M,N
1487,October,1990,Unprovoked,Florida,M,N
1488,October,1990,Unprovoked,Hawaii,M,N
1489,April,1989,Unprovoked,Hawaii,M,N
1490,October,1986,Unprovoked,Florida,F,N
1491,February,1985,Unprovoked,California,M,N
1492,September,1984,Unprovoked,Oregon,M,N
1493,January,1984,Provoked,California,M,N
1494,November,1982,Unprovoked,South Carolina,M,N
1495,October,1980,Unprovoked,California,M,N
1496,November,1978,Unprovoked,Florida,M,N
1497,June,1975,Unprovoked,Florida,M,N
1498,September,1974,Unprovoked,California,M,N
1499,January,1973,Unprovoked,Hawaii,M,N
1500,June,1962,Unprovoked,California,M,Y
1501,June,1962,Unprovoked,South Carolina,M,N
1502,August,1960,Unprovoked,New Jersey,M,N
1503,July,1956,Provoked,Puerto Rico,M,Y
1504,September,1953,Unprovoked,California,M,N
1505,July,1953,Unprovoked,Hawaii,M,Y
1506,July,1952,Provoked,South Carolina,M,N
1507,July,1952,Provoked,South Carolina,M,N
1508,July,2023,Unprovoked,New York,F,N
1509,January,2022,Unprovoked,Florida,F,N
1510,July,2021,Unprovoked,Florida,F,N
1511,October,2018,Unprovoked,Florida,F,N
1512,September,2018,Unprovoked,Hawaii,M,N
1513,April,2018,Provoked,Texas,M,N
1514,August,2017,Unprovoked,Massachusetts,M,N
1515,July,2016,Unprovoked,Florida,F,N
1516,June,2016,Unprovoked,South Carolina,M,N
1517,October,2015,Unprovoked,South Carolina,F,N
1518,September,2015,Unprovoked,Florida,M,N
1519,August,2015,Unprovoked,South Carolina,M,N
1520,April,2015,Unprovoked,Florida,M,N
1521,August,2014,Provoked,Maryland,M,N
1522,July,2014,Unprovoked,Florida,M,N
1523,December,2011,Unprovoked,Oregon,F,N
1524,June,2011,Unprovoked,Florida,M,N
1525,November,2010,Provoked,Palmyra Atoll,M,N
1526,September,2010,Unprovoked,Florida,M,N
1527,June,2010,Unprovoked,Texas,M,N
1528,July,2009,Provoked,Florida,F,N
1529,May,2008,Unprovoked,Florida,M,N
1530,April,2008,Unprovoked,Florida,M,N
1531,July,2007,Unprovoked,Florida,M,N
1532,June,2007,Unprovoked,Hawaii,M,N
1533,April,2006,Unprovoked,Florida,M,N
1534,July,2004,Unprovoked,Florida,F,N
1535,April,2003,Unprovoked,Florida,M,N
1536,August,2002,Unprovoked,North Carolina,M,N
1537,May,2002,Unprovoked,Florida,M,N
1538,November,1999,Unprovoked,Hawaii,F,N
1539,August,1998,Unprovoked,Virginia,M,N
1540,July,1997,Unprovoked,South Carolina,M,N
1541,November,1996,Unprovoked,California,M,N
1542,September,1996,Unprovoked,Florida,M,N
1543,January,1996,Unprovoked,North Carolina,M,N
1544,September,1995,Unprovoked,Florida,M,Y
1545,July,1995,Unprovoked,Florida,M,N
1546,May,1994,Unprovoked,Florida,M,N
1547,March,1994,Provoked,California,M,N
1548,March,1993,Unprovoked,Hawaii,M,N
1549,August,1991,Provoked,Florida,M,N
1550,March,1988,Unprovoked,Florida,F,N
1551,April,1987,Unprovoked,Hawaii,M,Y
1552,March,1985,Unprovoked,Florida,M,N
1553,June,1984,Unprovoked,Hawaii,F,N
1554,February,1982,Unprovoked,Florida,M,N
1555,October,1981,Unprovoked,Florida,M,N
1556,July,1980,Unprovoked,Delaware,F,N
1557,October,1976,Unprovoked,California,M,N
1558,July,1975,Unprovoked,Florida,M,N
1559,May,1975,Unprovoked,Florida,M,N
1560,June,1961,Unprovoked,Florida,M,N
1561,February,1955,Unprovoked,California,M,N
1562,September,1954,Unprovoked,California,M,N
1563,July,2023,Unprovoked,New York,F,N
1564,July,2021,Unprovoked,North Carolina,M,N
1565,July,2021,Provoked,BAHAMAS,F,N
1566,June,2021,Unprovoked,California,M,N
1567,September,2020,Unprovoked,Florida,M,N
1568,August,2020,Unprovoked,North Carolina,M,N
1569,July,2020,Unprovoked,Florida,F,N
1570,November,2019,Unprovoked,California,F,N
1571,February,2019,Unprovoked,California,M,N
1572,September,2017,Unprovoked,Florida,M,N
1573,January,2017,Unprovoked,Florida,M,N
1574,June,2016,Unprovoked,North Carolina,M,N
1575,January,2016,Unprovoked,Hawaii,M,N
1576,July,2015,Unprovoked,California,M,N
1577,June,2015,Unprovoked,South Carolina,M,N
1578,April,2014,Unprovoked,Florida,M,N
1579,May,2013,Unprovoked,Florida,M,N
1580,April,2013,Unprovoked,Florida,M,N
1581,October,2012,Unprovoked,California,M,Y
1582,April,2012,Unprovoked,Florida,M,N
1583,October,2011,Unprovoked,Florida,M,N
1584,July,2011,Unprovoked,North Carolina,F,N
1585,August,2009,Unprovoked,Florida,M,N
1586,August,2008,Unprovoked,US Virgin Islands,F,N
1587,August,2008,Unprovoked,Hawaii,M,N
1588,July,2008,Unprovoked,North Carolina,M,N
1589,March,2008,Unprovoked,Florida,M,N
1590,August,2007,Unprovoked,Hawaii,M,N
1591,August,2007,Unprovoked,Florida,M,N
1592,October,2006,Unprovoked,Florida,M,N
1593,February,2006,Unprovoked,Hawaii,F,N
1594,October,2004,Unprovoked,Hawaii,M,N
1595,October,2004,Unprovoked,California,M,N
1596,August,2004,Unprovoked,California,M,N
1597,June,2004,Unprovoked,California,M,N
1598,July,2003,Unprovoked,Florida,F,N
1599,April,2003,Unprovoked,Florida,M,N
1600,April,2001,Unprovoked,Florida,M,N
1601,March,2000,Unprovoked,Florida,F,N
1602,July,1995,Unprovoked,Texas,M,N
1603,July,1992,Unprovoked,Florida,F,N
1604,September,1990,Unprovoked,California,M,N
1605,June,1989,Unprovoked,Louisiana,M,N
1606,October,1988,Unprovoked,Florida,F,N
1607,June,1987,Provoked,Florida,M,N
1608,September,1985,Unprovoked,Florida,M,N
1609,July,1985,Unprovoked,Florida,M,N
1610,October,1984,Unprovoked,Florida,F,N
1611,October,1984,Unprovoked,Florida,M,N
1612,September,1984,Unprovoked,California,M,N
1613,August,1983,Unprovoked,Florida,F,N
1614,June,1976,Unprovoked,Hawaii,M,N
1615,August,1967,Unprovoked,Florida,M,N
1616,May,1961,Unprovoked,Florida,M,N
1617,March,1959,Unprovoked,Florida,M,N
1618,July,2023,Unprovoked,Florida,M,N
1619,May,2023,Unprovoked,Florida,F,N
1620,August,2022,Unprovoked,South Carolina,F,N
1621,July,2022,Unprovoked,Florida,M,N
1622,June,2022,Unprovoked,California,M,N
1623,July,2021,Unprovoked,Florida,M,N
1624,May,2021,Unprovoked,Hawaii,M,N
1625,February,2021,Unprovoked,Hawaii,M,N
1626,July,2020,Unprovoked,Bahamas,M,N
1627,June,2020,Unprovoked,Hawaii,M,N
1628,July,2019,Unprovoked,North Carolina,F,N
1629,July,2019,Unprovoked,Florida,F,N
1630,June,2019,Unprovoked,North Carolina,M,N
1631,November,2017,Unprovoked,Florida,F,N
1632,October,2017,Unprovoked,Florida,M,N
1633,February,2017,Unprovoked,Florida,M,N
1634,August,2016,Unprovoked,Florida,M,N
1635,June,2016,Unprovoked,North Carolina,M,N
1636,May,2016,Unprovoked,Florida,F,N
1637,October,2014,Unprovoked,Hawaii,F,N
1638,June,2014,Unprovoked,Florida,F,N
1639,May,2014,Unprovoked,Florida,F,N
1640,October,2013,Unprovoked,Hawaii,M,N
1641,March,2012,Unprovoked,Florida,M,N
1642,January,2012,Unprovoked,Oregon,M,N
1643,October,2011,Unprovoked,California,M,N
1644,October,2011,Unprovoked,Florida,M,N
1645,June,2011,Unprovoked,Florida,M,N
1646,September,2010,Unprovoked,Florida,M,N
1647,November,2009,Unprovoked,California,M,N
1648,April,2009,Unprovoked,Florida,M,N
1649,October,2008,Unprovoked,Florida,M,N
1650,June,2008,Unprovoked,South Carolina,M,N
1651,March,2008,Unprovoked,Florida,M,N
1652,August,2007,Unprovoked,South Carolina,M,N
1653,September,2006,Provoked,Florida,M,N
1654,July,2006,Unprovoked,Florida,M,N
1655,June,2006,Unprovoked,Florida,F,N
1656,November,2005,Unprovoked,Florida,M,N
1657,July,2005,Unprovoked,Florida,M,N
1658,June,2003,Unprovoked,North Carolina,M,N
1659,August,2002,Unprovoked,Hawaii,M,N
1660,August,2001,Unprovoked,Florida,M,N
1661,April,2001,Unprovoked,Florida,M,N
1662,September,2000,Unprovoked,Florida,M,N
1663,July,2000,Unprovoked,Florida,M,N
1664,April,1999,Unprovoked,Florida,M,N
1665,March,1999,Unprovoked,Hawaii,F,N
1666,August,1998,Unprovoked,Florida,M,N
1667,May,1997,Unprovoked,Florida,M,N
1668,September,1996,Unprovoked,Florida,M,N
1669,May,1996,Unprovoked,Florida,M,N
1670,January,1996,Provoked,Florida,M,N
1671,September,1995,Unprovoked,California,M,N
1672,July,1995,Unprovoked,Florida,M,N
1673,October,1994,Unprovoked,Florida,M,N
1674,May,1994,Unprovoked,Florida,F,N
1675,July,1991,Unprovoked,Florida,M,N
1676,June,1991,Unprovoked,Florida,M,N
1677,April,1991,Unprovoked,Florida,M,N
1678,November,1990,Unprovoked,Florida,M,N
1679,October,1987,Unprovoked,California,M,N
1680,August,1987,Unprovoked,California,M,N
1681,February,1987,Unprovoked,Florida,M,N
1682,December,1983,Unprovoked,Florida,M,N
1683,June,1980,Provoked,California,F,N
1684,June,1977,Provoked,Florida,M,N
1685,September,1974,Unprovoked,California,M,N
1686,December,1973,Unprovoked,Hawaii,M,N
1687,July,1971,Unprovoked,Florida,M,N
1688,August,1969,Unprovoked,Florida,M,N
1689,October,1968,Unprovoked,Florida,M,N
1690,September,1966,Provoked,Florida,M,N
1691,July,1966,Provoked,South Carolina,M,N
1692,March,1965,Unprovoked,Florida,M,N
1693,September,1963,Provoked,Florida,M,N
1694,July,1954,Unprovoked,Louisiana,F,N
1695,June,1951,Unprovoked,Hawaii,M,Y
1696,December,2022,Unprovoked,Hawaii,M,N
1697,July,2022,Provoked,Florida,M,N
1698,August,2021,Unprovoked,Florida,M,N
1699,June,2021,Unprovoked,California,M,N
1700,April,2021,Unprovoked,Florida,F,N
1701,July,2020,Unprovoked,Florida,F,N
1702,March,2020,Unprovoked,Florida,M,N
1703,October,2018,Unprovoked,California,M,N
1704,July,2018,Unprovoked,New York,M,N
1705,May,2018,Unprovoked,Florida,M,N
1706,May,2017,Unprovoked,Florida,M,N
1707,August,2016,Unprovoked,Hawaii,M,N
1708,April,2015,Unprovoked,Florida,M,N
1709,September,2014,Unprovoked,Alabama,M,N
1710,April,2014,Unprovoked,Florida,M,N
1711,September,2013,Unprovoked,Florida,M,N
1712,February,2013,Unprovoked,Hawaii,M,N
1713,January,2013,Unprovoked,Hawaii,M,N
1714,November,2012,Unprovoked,Hawaii,M,N
1715,October,2012,Unprovoked,California,M,N
1716,October,2012,Unprovoked,Florida,M,N
1717,August,2012,Unprovoked,Florida,M,N
1718,July,2012,Unprovoked,California,M,N
1719,June,2012,Unprovoked,South Carolina,M,N
1720,May,2011,Unprovoked,Hawaii,F,N
1721,August,2010,Unprovoked,Florida,M,N
1722,November,2009,Unprovoked,Florida,M,N
1723,June,2008,Unprovoked,Florida,M,N
1724,January,2008,Unprovoked,Florida,M,N
1725,October,2007,Unprovoked,Florida,M,N
1726,September,2007,Unprovoked,Florida,F,N
1727,August,2007,Unprovoked,Florida,M,N
1728,April,2007,Unprovoked,Florida,M,N
1729,September,2006,Unprovoked,North Carolina,M,N
1730,July,2003,Unprovoked,Florida,M,N
1731,May,2002,Unprovoked,Florida,M,N
1732,August,2001,Unprovoked,Florida,F,N
1733,April,2001,Unprovoked,Florida,M,N
1734,April,2001,Unprovoked,Florida,M,N
1735,June,2000,Unprovoked,Florida,M,N
1736,April,2000,Unprovoked,Florida,M,N
1737,September,1998,Unprovoked,Florida,M,N
1738,May,1998,Unprovoked,Florida,M,N
1739,October,1997,Unprovoked,Florida,F,N
1740,August,1997,Unprovoked,Florida,M,N
1741,September,1996,Unprovoked,Florida,M,N
1742,May,1995,Unprovoked,Florida,M,N
1743,February,1994,Unprovoked,Florida,M,N
1744,November,1993,Unprovoked,Hawaii,M,N
1745,November,1990,Unprovoked,California,F,N
1746,December,1986,Unprovoked,Florida,M,N
1747,October,1985,Unprovoked,California,M,N
1748,July,1984,Unprovoked,Texas,F,N
1749,July,1982,Unprovoked,California,M,N
1750,March,1981,Unprovoked,Florida,M,N
1751,July,1978,Provoked,California,M,N
1752,March,1970,Unprovoked,Florida,M,N
1753,November,1969,Unprovoked,Hawaii,M,N
1754,June,1962,Provoked,California,M,N
1755,August,1957,Provoked,Florida,M,N
1756,July,1957,Provoked,California,M,N
1757,July,1953,Unprovoked,Florida,F,N
1758,July,1952,Provoked,California,M,N
