Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
19930831, HU, 35.2N,  75.1W,100.0,961.0,30.0
19950802, HU, 27.7N,  80.3W,75.0,984.0,40.0
19950803, HU, 30.0N,  86.8W,85.0,973.0,15.0
19950803, HU, 30.3N,  87.2W,75.0,973.0,10.0
19950915, HU, 17.4N,  64.2W,85.0,969.0,20.0
19950916, HU, 18.5N,  65.2W,95.0,952.0,10.0
19951004, HU, 30.3N,  87.1W,100.0,942.0,50.0
19960712, HU, 34.3N,  77.8W,90.0,974.0,40.0
19960906, HU, 33.9N,  78.0W,100.0,954.0,40.0
19960910, HU, 18.0N,  66.9W,70.0,989.0,30.0
19970718, HU, 29.3N,  89.7W,65.0,989.0,10.0
19970719, HU, 30.2N,  88.1W,70.0,984.0,10.0
19970719, HU, 30.4N,  87.9W,65.0,986.0,10.0
19980827, HU, 34.4N,  77.7W,95.0,964.0,60.0
19980903, HU, 30.1N,  85.7W,70.0,987.0,70.0
19980921, HU, 18.1N,  65.8W,100.0,968.0,20.0
19980925, HU, 24.5N,  81.8W,90.0,981.0,25.0
19980928, HU, 30.4N,  88.9W,90.0,964.0,80.0
19990823, HU, 26.9N,  97.4W,100.0,951.0,10.0
19990916, HU, 33.8N,  78.0W,90.0,956.0,35.0
19991015, HU, 24.6N,  81.6W,65.0,987.0,30.0
19991015, HU, 25.3N,  81.1W,70.0,987.0,40.0
19991018, HU, 34.8N,  75.2W,95.0,964.0,30.0
20021003, HU, 29.5N,  92.2W,80.0,963.0,10.0
20030715, HU, 28.3N,  96.2W,80.0,979.0,15.0
20030918, HU, 34.9N,  76.2W,90.0,957.0,40.0
20040803, HU, 35.3N,  75.2W,85.0,972.0,15.0
20040813, HU, 26.6N,  82.2W,130.0,941.0,5.0
20040813, HU, 26.9N,  82.1W,125.0,942.0,5.0
20040814, HU, 33.0N,  79.4W,70.0,992.0,20.0
20040814, HU, 33.8N,  78.7W,65.0,997.0,20.0
20040905, HU, 27.2N,  80.2W,90.0,960.0,30.0
20040829, HU, 33.0N,  79.6W,65.0,985.0,10.0
20040916, HU, 30.2N,  87.9W,105.0,946.0,25.0
20040926, HU, 27.2N,  80.2W,105.0,950.0,45.0
20050706, HU, 29.2N,  90.1W,65.0,991.0,20.0
20050710, HU, 30.4N,  87.1W,105.0,946.0,5.0
20050825, HU, 26.0N,  80.1W,70.0,984.0,15.0
20050829, HU, 29.3N,  89.6W,110.0,920.0,20.0
20050829, HU, 30.2N,  89.6W,105.0,928.0,20.0
20050924, HU, 29.7N,  93.7W,100.0,937.0,20.0
20051024, HU, 25.9N,  81.7W,105.0,950.0,25.0
20070913, HU, 29.6N,  94.3W,80.0,985.0,10.0
20080723, HU, 26.4N,  97.2W,75.0,967.0,10.0
20080723, HU, 26.4N,  97.4W,70.0,967.0,10.0
20080901, HU, 29.2N,  90.7W,90.0,954.0,25.0
20080913, HU, 29.3N,  94.7W,95.0,950.0,30.0
20110827, HU, 34.7N,  76.6W,75.0,952.0,45.0
20120829, HU, 28.9N,  89.4W,70.0,967.0,40.0
20120829, HU, 29.2N,  90.2W,70.0,966.0,40.0
