,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
558,September,2006,Unprovoked,USA,Florida,Swimming,M,12.0,N
561,November,2005,Unprovoked,USA,Florida,Surfing,M,15.0,N
562,August,2005,Unprovoked,USA,Texas,Walking,M,12.0,N
563,August,2005,Unprovoked,USA,North Carolina,Surfing,M,16.0,N
564,April,2005,Unprovoked,USA,Florida,Wading,F,70.0,N
565,September,2004,Unprovoked,USA,South Carolina,Jumping,F,17.0,N
569,December,2003,Unprovoked,USA,Florida,Swimming,M,13.0,N
570,October,2003,Unprovoked,USA,Florida,Surfing,M,46.0,N
571,October,2003,Unprovoked,USA,Florida,Surfing,F,22.0,N
574,February,2003,Unprovoked,USA,Florida,Swimming,M,54.0,N
575,June,2002,Unprovoked,USA,Florida,Surfing,M,28.0,N
576,May,2002,Provoked,USA,Florida,"Fishing, removing the shark from his line",M,55.0,N
578,September,2001,Unprovoked,USA,North Carolina,Surfing,M,16.0,N
579,June,2001,Unprovoked,USA,Texas,Swimming,M,14.0,N
580,March,2001,Unprovoked,USA,Hawaii,Body-boarding,M,22.0,N
581,June,2000,Unprovoked,USA,Alabama,Swimming,M,55.0,N
584,February,1998,Unprovoked,USA,Florida,Swimming,M,22.0,N
587,July,1995,Unprovoked,USA,Florida,Surfing,M,22.0,N
591,July,1994,Unprovoked,USA,Florida,Surfing,M,15.0,N
592,October,1993,Unprovoked,USA,Florida,Swimming,F,26.0,N
593,December,1992,Unprovoked,USA,Hawaii,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",M,10.0,N
596,July,1990,Unprovoked,USA,Texas,Wading,F,53.0,N
599,January,1989,Unprovoked,USA,Hawaii,Body boarding,M,10.0,N
604,July,1985,Unprovoked,USA,South Carolina,Playing in knee-deep water,F,10.0,N
608,September,1984,Unprovoked,USA,California,Skindiving,M,28.0,Y
611,December,1981,Unprovoked,USA,California,Surfing,M,24.0,Y
612,January,1981,Unprovoked,USA,Florida,Commercial spearfishing,M,25.0,N
614,December,1976,Unprovoked,USA,California,"Diving for abalone (Hookah, submerged)",M,29.0,N
618,October,1972,Unprovoked,USA,Florida,Surfing,M,17.0,N
624,August,1966,Unprovoked,USA,Florida,Wading,M,8.0,N
629,August,1964,Unprovoked,USA,Florida,Swimming,M,22.0,N
634,April,1963,Unprovoked,USA,US Virgin Islands,Swimming,M,25.0,Y
635,August,1962,Provoked,USA,California,Diving for abalone,M,39.0,N
640,June,1960,Unprovoked,USA,Florida,Scuba diving,M,39.0,N
648,June,1958,Unprovoked,USA,Florida,Walking,M,17.0,N
726,January,2023,Provoked,USA,Florida,Spearishing,M,30.0,N
728,August,2022,Unprovoked,USA,Florida,Snorkeling,M,10.0,N
729,July,2022,Unprovoked,USA,Noirth Carolina,Surfing,F,22.0,N
732,July,2021,Unprovoked,USA,California,Surfing,F,22.0,N
733,June,2021,Unprovoked,USA,Florida,Swimming,M,14.0,N
742,December,2019,Unprovoked,USA,California,Surfing,M,37.0,N
743,July,2019,Unprovoked,USA,Florida,Boogie boarding,M,49.0,N
745,March,2019,Unprovoked,USA,Oregon,Surfing,M,22.0,N
746,January,2019,Unprovoked,USA,California,Surfing,M,19.0,N
748,October,2018,Unprovoked,USA,Florida,Surfing,M,29.0,N
756,August,2016,Unprovoked,USA,Florida,Surfing,M,25.0,N
760,October,2015,Unprovoked,USA,Florida,Surfing,M,14.0,N
761,August,2015,Unprovoked,USA,Florida,Walking,F,10.0,N
763,July,2014,Provoked,USA,California,Swimming,M,22.0,N
767,December,2013,Unprovoked,USA,Hawaii,Boogie boarding,M,29.0,N
770,September,2013,Unprovoked,USA,Florida,Standing,M,25.0,N
771,July,2013,Unprovoked,USA,Florida,Swimming,M,15.0,N
773,June,2013,Unprovoked,USA,South Carolina,Boogie Boarding,F,10.0,N
776,September,2012,Unprovoked,USA,Florida,Swimming,M,22.0,N
786,December,2009,Provoked,USA,New Jersey,Diving,M,58.0,N
788,July,2009,Unprovoked,USA,Texas,Wading,F,14.0,N
789,July,2009,Unprovoked,USA,North Carolina,Swimming,F,26.0,N
791,July,2008,Provoked,USA,Florida,Surfing,M,15.0,N
796,December,2007,Unprovoked,USA,Hawaii,Surfing,M,52.0,N
800,November,2007,Unprovoked,USA,Florida,Surfing,M,42.0,N
803,January,2007,Unprovoked,USA,Hawaii,Surfing,M,24.0,N
804,November,2006,Unprovoked,USA,Hawaii,Swimming,M,29.0,N
805,October,2006,Unprovoked,USA,Texas,Surfing,M,22.0,N
810,August,2005,Unprovoked,USA,South Carolina,Swimming,M,14.0,N
811,July,2005,Unprovoked,USA,Florida,Wading,F,13.0,N
813,September,2004,Unprovoked,USA,Oregon,Surfing,M,26.0,N
814,June,2004,Unprovoked,USA,Florida,Swimming,M,8.0,N
816,March,2004,Unprovoked,USA,Hawaii,Surfing,M,51.0,N
818,October,2003,Unprovoked,USA,Hawaii,Surfing,F,13.0,N
819,September,2003,Unprovoked,USA,Florida,Surfing,M,19.0,N
821,April,2003,Unprovoked,USA,Florida,Surfing,M,22.0,N
822,September,2002,Unprovoked,USA,Hawaii,Fishing from Surfboard,M,55.0,N
823,September,2002,Unprovoked,USA,Florida,Boogie boarding,M,20.0,N
827,August,2001,Unprovoked,USA,Florida,Boogie Boarding,M,18.0,N
829,April,2001,Unprovoked,USA,Florida,Boogie boarding,M,14.0,N
832,July,2000,Unprovoked,USA,Florida,Wading,F,20.0,N
834,July,1999,Unprovoked,USA,Florida,Swimming with dolphins,M,43.0,N
836,October,1998,Unprovoked,USA,Florida,Swimming,F,17.0,N
838,August,1997,Unprovoked,USA,Florida,Surfing,M,22.0,N
845,January,1994,Unprovoked,USA,Hawaii,Surfing,M,22.0,Y
851,September,1989,Unprovoked,USA,California,Hookah diving for abalone (descending),M,38.0,N
855,November,1986,Unprovoked,USA,Florida,Surfing,M,17.0,N
857,August,1985,Unprovoked,USA,South Carolina,Wading,M,87.0,N
858,May,1983,Unprovoked,USA,Florida,Surfing,M,15.0,N
860,September,1982,Unprovoked,USA,California,Diving,M,36.0,N
861,September,1982,Unprovoked,USA,California,Free diving for abalone from Zodiac (submerged),M,28.0,N
868,January,1976,Unprovoked,USA,Hawaii,Scuba diving,M,22.0,Y
873,May,1972,Unprovoked,USA,California,Free diving for abalone,M,32.0,N
886,October,1963,Unprovoked,USA,Florida,"Surf fishing, wading",M,28.0,N
891,August,1962,Unprovoked,USA,Texas,Surf fishing in waist-deep water,M,40.0,Y
892,July,1962,Unprovoked,USA,Georgia,Playing in surf with his child  (9),M,41.0,N
896,August,1960,Unprovoked,USA,Connecticut,Free diving,M,38.0,N
906,May,1955,Provoked,USA,California,Spearfishing,M,28.0,N
908,May,1952,Unprovoked,USA,California,Swimming on surface,M,22.0,N
979,December,2021,Unprovoked,USA,Florida,Wing Foil Surfing,F,42.0,N
980,June,2021,Unprovoked,USA,Florida,Standing,M,12.0,N
984,April,2020,Unprovoked,USA,Florida,Surfing,F,22.0,N
986,November,2019,Unprovoked,USA,Florida,Surfing,M,30.0,N
990,September,2018,Unprovoked,USA,Florida,Surfing,M,39.0,N
1001,March,2015,Unprovoked,USA,Hawaii,Standing / Snorkeling,M,58.0,N
1007,January,2014,Unprovoked,USA,Hawaii,Free diving / Photographing pilot whales,M,22.0,N
1009,June,2012,Unprovoked,USA,South Carolina,Swimming,F,18.0,N
1010,May,2012,Unprovoked,USA,North Carolina,Wading,F,33.0,N
1015,June,2010,Unprovoked,USA,South Carolina,Boogie Boarding,F,6.0,N
1016,October,2009,Unprovoked,USA,California,Surfing,M,22.0,N
1021,July,2008,Unprovoked,USA,Florida,Surfing,M,17.0,N
1022,April,2008,Unprovoked,USA,Florida,Surfing,F,14.0,N
1023,March,2008,Unprovoked,USA,Florida,Surfing,M,52.0,N
1024,November,2007,Unprovoked,USA,Florida,Surfing,M,21.0,N
1026,August,2007,Unprovoked,USA,California,Surfing,M,24.0,N
1027,September,2006,Unprovoked,USA,Florida,Standing,M,33.0,N
1035,March,2004,Unprovoked,USA,Florida,Surfing,M,22.0,N
1036,October,2003,Unprovoked,USA,Hawaii,Wading near a fishing net,F,41.0,N
1038,May,2003,Unprovoked,USA,Hawaii,Swimming,M,20.0,N
1042,August,2001,Unprovoked,USA,Florida,Surfing,M,27.0,N
1047,September,1999,Unprovoked,USA,Florida,Wading,F,61.0,N
1050,June,1998,Unprovoked,USA,Florida,Surfing,M,18.0,N
1054,September,1997,Unprovoked,USA,Florida,Surfing,M,12.0,N
