,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
1835,July,1991,Unprovoked,USA,Florida,Swimming from makeshift raft  to life vest after fishing boat sank,M,42.0,N
1836,April,1991,Unprovoked,USA,Hawaii,Sitting on surfboard,M,22.0,N
1837,August,1990,Unprovoked,USA,Texas,Surfing,M,22.0,N
1839,June,1989,Unprovoked,USA,Hawaii,Fell off surfboard 20' from shore,M,22.0,N
1844,July,1987,Unprovoked,USA,Texas,Body surfing,F,32.0,N
1845,February,1985,Unprovoked,USA,Florida,Surfing,M,16.0,N
1847,July,1983,Unprovoked,USA,Florida,Floating on air mattress,M,17.0,N
1849,September,1981,Unprovoked,USA,Florida,Surfing,M,24.0,N
1850,August,1981,Unprovoked,USA,Florida,Surfing,M,15.0,N
1854,August,1978,Unprovoked,USA,Florida,Floating on inner tube raft,M,27.0,N
1857,July,1975,Unprovoked,USA,Florida,Swimming,F,14.0,N
1861,November,1973,Unprovoked,USA,Florida,Surfing,M,13.0,N
1865,August,1969,Unprovoked,USA,Florida,Floating on his back,M,22.0,N
1867,July,1967,Unprovoked,USA,Florida,Snorkeling,M,20.0,N
1870,January,1966,Unprovoked,USA,California,Free diving / spearfishing (resting on the surface),M,29.0,N
1873,February,1965,Unprovoked,USA,Massachusetts,Scuba diving,M,18.0,N
1877,July,1962,Unprovoked,USA,South Carolina,Standing,M,21.0,N
1885,August,1959,Unprovoked,USA,Florida,Spearfishing on Scuba,M,26.0,Y
1955,July,2023,Unprovoked,USA,South Carolina,Boogie boarding,M,60.0,N
1958,October,2022,Provoked,USA,Mississippi,Fishing,M,22.0,N
1959,July,2022,Unprovoked,USA,Florida,Lobstering,M,13.0,N
1960,July,2022,Unprovoked,USA,Florida,Wading,M,33.0,N
1962,April,2022,Unprovoked,USA,Florida,Kayaking,M,22.0,N
1968,November,2019,Unprovoked,USA,Florida,Surfing,M,9.0,N
1969,August,2019,Unprovoked,USA,Florida,Wading,M,9.0,N
1970,June,2019,Unprovoked,USA,North Carolina,Surfing,M,19.0,N
1974,May,2018,Unprovoked,USA,Florida,Standing,M,12.0,N
1976,March,2018,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,25.0,N
1977,December,2017,Unprovoked,USA,Hawaii,Surfing,F,54.0,N
1979,September,2017,Unprovoked,USA,Florida,Surfing,M,18.0,N
1980,July,2017,Unprovoked,USA,Washington,Surfing,M,22.0,N
1985,October,2016,Unprovoked,USA,Florida,Surfng,M,32.0,N
1986,September,2016,Unprovoked,USA,South Carolina,Boogie boarding,F,12.0,N
1987,September,2016,Unprovoked,USA,California,Spearfishing,M,22.0,N
1988,May,2016,Unprovoked,USA,Hawaii,Floating,M,59.0,N
1990,September,2015,Unprovoked,USA,Florida,Surfing,M,22.0,N
1992,June,2015,Unprovoked,USA,South Carolina,Standing,M,9.0,N
1993,May,2015,Unprovoked,USA,Florida,Surfing,M,18.0,N
1998,October,2014,Unprovoked,USA,Florida,Surfing,M,15.0,N
1999,August,2014,Unprovoked,USA,Florida,Swimming,F,45.0,N
2000,July,2014,Unprovoked,USA,South Carolina,Body surfing,M,19.0,N
2001,June,2014,Unprovoked,USA,Delaware,Standing,M,16.0,N
2002,October,2013,Unprovoked,USA,Florida,Wading,M,6.0,N
2003,August,2013,Unprovoked,USA,California,Surfing,F,22.0,N
2006,June,2013,Unprovoked,USA,South Carolina,Swimming,M,14.0,N
2008,June,2013,Unprovoked,USA,Florida,Surfing,F,22.0,N
2009,May,2013,Unprovoked,USA,Florida,Surfing,M,16.0,N
2011,April,2013,Unprovoked,USA,Hawaii,Surfing,M,58.0,N
2014,May,2012,Unprovoked,USA,Florida,Swimming,F,47.0,N
2015,December,2011,Unprovoked,USA,Florida,Surfing,M,27.0,N
2017,September,2011,Unprovoked,USA,Florida,Spearfishing,M,21.0,N
2020,July,2011,Unprovoked,USA,Texas,Surf fishing,M,22.0,N
2023,August,2010,Unprovoked,USA,North Carolina,Surfing,M,25.0,N
2024,July,2010,Unprovoked,USA,South Carolina,Standing,M,16.0,N
2030,April,2009,Unprovoked,USA,Florida,Surfing,M,20.0,N
2032,August,2008,Unprovoked,USA,Florida,Surfing,M,26.0,N
2035,May,2008,Unprovoked,USA,North Carolina,Surfing,M,9.0,N
2038,July,2007,Unprovoked,USA,California,Surf paddling,M,22.0,N
2039,July,2007,Unprovoked,USA,North Carolina,Wading,F,30.0,N
2045,July,2006,Unprovoked,USA,Florida,Surfing,M,14.0,N
2048,October,2005,Unprovoked,USA,Florida,Wading,M,15.0,N
2050,June,2005,Unprovoked,USA,Florida,Swimming,M,20.0,N
2051,March,2005,Provoked,USA,New Mexico,Diving in aquarium display tank,M,45.0,N
2056,September,2003,Unprovoked,USA,Florida,Body boarding,M,18.0,N
2057,September,2003,Unprovoked,USA,Florida,Wade-fishing,M,22.0,N
2058,April,2003,Unprovoked,USA,Florida,Surfing,M,36.0,N
2060,October,2002,Unprovoked,USA,Florida,Surfing,M,21.0,N
2061,June,2002,Unprovoked,USA,Florida,Swimming,M,10.0,N
2062,April,2002,Unprovoked,USA,Florida,"Surfing, but standing in water alongside board",M,34.0,N
2063,March,2002,Unprovoked,USA,Florida,Wading,F,11.0,N
2065,August,2001,Unprovoked,USA,Florida,Standing,F,29.0,N
2068,August,2000,Unprovoked,USA,Florida,Jumped into the water,M,69.0,Y
2070,November,1999,Unprovoked,USA,Florida,Surfing,M,19.0,N
2072,October,1997,Unprovoked,USA,Hawaii,Body boarding or surfing,M,19.0,N
2073,August,1997,Unprovoked,USA,Florida,Floating on raft,F,12.0,N
2075,August,1996,Unprovoked,USA,Florida,Wade fishing,M,21.0,N
2078,August,1995,Unprovoked,USA,Florida,Surfing,M,16.0,N
2079,August,1995,Unprovoked,USA,South Carolina,Riding waves on a board,F,14.0,N
2080,June,1995,Unprovoked,USA,California,Kayaking,F,22.0,N
2087,July,1990,Unprovoked,USA,Florida,Surfing,M,17.0,N
2090,October,1988,Unprovoked,USA,Oregon,Surfing (sitting on his board),M,21.0,N
2093,October,1985,Unprovoked,USA,Hawaii,Body boarding,M,33.0,N
2097,February,1982,Unprovoked,USA,Florida,Swimming,F,75.0,Y
2099,August,1981,Unprovoked,USA,Florida,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,19.0,Y
2105,June,1975,Unprovoked,USA,South Carolina,Swimming,M,18.0,N
2114,October,1970,Unprovoked,USA,Florida,Surfing,M,22.0,N
2117,October,1969,Unprovoked,USA,Hawaii,Diving,M,22.0,N
2125,April,1965,Unprovoked,USA,Florida,Spearfishing,M,28.0,N
2127,February,1964,Unprovoked,USA,Florida,Floating,M,12.0,N
2131,July,1961,Provoked,USA,New York,Spearfishing,M,57.0,N
2136,May,1959,Unprovoked,USA,Florida,Spearfishing,M,19.0,N
2137,October,1958,Unprovoked,USA,California,Swimming near jetty,M,15.0,N
2140,April,1955,Unprovoked,USA,Hawaii,"Fishing from boat, Kaimamla",M,22.0,N
2143,January,1953,Unprovoked,USA,Florida,Standing,F,22.0,N
2144,December,1952,Unprovoked,USA,Hawaii,Swimming from fishing boat setting nets,M,40.0,Y
2207,May,2023,Unprovoked,USA,Florida,Spearfishing,M,22.0,N
2208,November,2022,Unprovoked,USA,Florida,Swimming,F,10.0,N
2210,June,2022,Unprovoked,USA,Florida,Scalloping,F,17.0,N
2211,August,2021,Unprovoked,USA,Maryland,Swimming,F,12.0,N
2212,September,2020,Unprovoked,USA,Florida,Surfing,M,15.0,N
2213,June,2020,Unprovoked,USA,Florida,Playing,M,7.0,N
2215,September,2019,Unprovoked,USA,Florida,Surfing,M,13.0,N
2217,August,2019,Unprovoked,USA,Florida,Surfing,M,20.0,N
2218,May,2019,Unprovoked,USA,Hawaii,Swimming with sharks,F,34.0,N
2219,March,2019,Unprovoked,USA,Hawaii,Swimming,M,58.0,N
2223,May,2018,Provoked,USA,Florida,Fishing,M,52.0,N
2227,September,2017,Unprovoked,USA,Florida,Swimming,M,22.0,N
2228,July,2017,Unprovoked,USA,California,SUP,M,50.0,N
2230,June,2017,Unprovoked,USA,Florida,Spearfishing,M,22.0,N
2231,April,2017,Unprovoked,USA,South Carolina,Surfing,F,33.0,N
2232,April,2017,Unprovoked,USA,Hawaii,Surfing,M,28.0,N
2234,October,2016,Unprovoked,USA,Florida,Surfing,M,21.0,N
2239,April,2016,Unprovoked,USA,Florida,Fishing,M,34.0,N
2243,November,2015,Unprovoked,USA,Florida,Wading,F,28.0,N
2249,May,2015,Unprovoked,USA,Florida,Standing,F,14.0,N
2250,April,2015,Unprovoked,USA,Florida,Wading,M,63.0,N
2252,August,2014,Unprovoked,USA,Florida,Body surfing,F,13.0,N
2253,August,2014,Unprovoked,USA,Florida,Surfing,M,50.0,N
2254,June,2014,Unprovoked,USA,Texas,Kneeling in the water,F,14.0,N
2258,February,2013,Unprovoked,USA,Florida,Surfing,M,16.0,N
2260,December,2012,Unprovoked,USA,Florida,Swimming,M,22.0,N
2262,September,2012,Unprovoked,USA,Florida,Surfing,M,52.0,N
2263,June,2012,Unprovoked,USA,South Carolina,Swimming,M,22.0,N
2264,March,2012,Unprovoked,USA,Florida,Surfing,M,61.0,N
2267,July,2011,Unprovoked,USA,Texas,Swimming,M,12.0,N
2273,July,2009,Unprovoked,USA,Florida,Boogie Boarding,F,12.0,N
2278,June,2006,Provoked,USA,Florida,Fishing,M,22.0,N
2279,May,2006,Unprovoked,USA,Hawaii,Spearfishing,M,26.0,N
2283,October,2005,Provoked,USA,Florida,Wading,M,15.0,N
2285,August,2004,Unprovoked,USA,Florida,Walking,F,38.0,N
2289,March,2004,Unprovoked,USA,Hawaii,Snorkeling,F,22.0,N
2292,September,2003,Unprovoked,USA,Florida,Surfing,M,16.0,N
2295,August,2002,Unprovoked,USA,Florida,Surfing,M,27.0,N
2296,March,2002,Unprovoked,USA,Florida,Swimming /  boogie boarding,M,20.0,N
2297,August,2001,Unprovoked,USA,Florida,Surfing,M,32.0,N
2302,October,2000,Unprovoked,USA,Florida,Surfing,M,23.0,N
2303,August,2000,Provoked,USA,Alaska,Conducting research,M,22.0,N
2305,July,2000,Unprovoked,USA,Texas,Jumping,M,5.0,N
2308,March,2000,Unprovoked,USA,Louisiana,Spearfishing,M,39.0,N
2310,November,1998,Unprovoked,USA,Florida,Walking,M,13.0,N
2316,November,1996,Unprovoked,USA,Florida,Surfing,M,26.0,N
2317,July,1996,Unprovoked,USA,Florida,Swimming,M,9.0,N
2319,January,1996,Unprovoked,USA,Hawaii,Swimming with mask & snorkel,M,53.0,N
2321,August,1995,Unprovoked,USA,North Carolina,Swimming,M,16.0,N
2323,June,1993,Unprovoked,USA,Hawaii,Paddling on surfboard or body board,M,22.0,N
2324,August,1992,Provoked,USA,Florida,Snorkeling,M,26.0,N
2330,December,1989,Provoked,USA,Hawaii,On board 51' fishing vessel One Ki,M,22.0,N
2331,April,1989,Unprovoked,USA,Hawaii,Paddling on surfboard,M,22.0,N
2332,January,1989,Unprovoked,USA,Hawaii,Swimming in strong current with 3 others when he disappeared,M,22.0,Y
2333,March,1988,Unprovoked,USA,Hawaii,Body surfing,M,22.0,N
2338,April,1986,Unprovoked,USA,Hawaii,"Fishing, fell from rocks & disappeared",M,22.0,Y
2340,July,1985,Unprovoked,USA,Florida,Wading,F,13.0,N
2341,September,1984,Unprovoked,USA,Florida,Surfing,M,16.0,N
2346,October,1982,Unprovoked,USA,Florida,Windsurfing,M,26.0,N
2347,September,1982,Unprovoked,USA,Florida,Surfing,M,20.0,N
2348,October,1981,Unprovoked,USA,Florida,Surfing,M,24.0,N
2350,March,1981,Unprovoked,USA,Florida,Surfing,M,24.0,N
2352,August,1980,Unprovoked,USA,North Carolina,Wading,F,10.0,N
2355,June,1978,Unprovoked,USA,Florida,Surfing,M,17.0,N
2359,August,1976,Unprovoked,USA,North Carolina,"Surfing, fell off surfboard",M,23.0,N
2364,July,1974,Unprovoked,USA,California,Free diving for abalone (submerged),M,36.0,N
2368,July,1969,Unprovoked,USA,California,Free diving for abalone but at surface,M,22.0,N
2372,September,1966,Provoked,USA,Hawaii,Fishing,M,20.0,N
2374,March,1964,Unprovoked,USA,Florida,Skin diving,M,38.0,N
2378,July,1962,Unprovoked,USA,Georgia,Dived from inner-tube,M,13.0,N
2389,May,1957,Unprovoked,USA,Florida,3 men & 2 boys picked up wearing life jackets and with inner tube,M,22.0,N
2390,February,1957,Unprovoked,USA,Florida,Skindiving for specimens,M,22.0,N
2392,August,1955,Provoked,USA,California,Surfing,M,25.0,N
2462,April,2023,Unprovoked,USA,Florida,Spearfishing,M,22.0,N
2463,March,2023,Unprovoked,USA,Hawaii,Swimming,M,60.0,N
2465,June,2022,Unprovoked,USA,Florida,Jumped into water,M,22.0,N
2467,April,2022,Unprovoked,USA,Florida,Standing,M,15.0,N
2469,August,2021,Unprovoked,USA,Florida,Surfing,M,41.0,N
2470,April,2021,Unprovoked,USA,Florida,Boggie boarding,M,54.0,N
2474,September,2018,Unprovoked,USA,Massachusetts,Boogie boarding,M,26.0,Y
2480,March,2017,Unprovoked,USA,Florida,Surfing,M,58.0,N
2481,September,2016,Unprovoked,USA,Florida,Surfing,M,36.0,N
2482,August,2016,Unprovoked,USA,Florida,Surfing,M,37.0,N
2484,November,2015,Unprovoked,USA,Florida,Surfing,M,22.0,N
2485,October,2015,Unprovoked,USA,Florida,Surfing,M,21.0,N
2486,September,2015,Unprovoked,USA,Hawaii,Spearfishing,M,27.0,N
2487,June,2015,Unprovoked,USA,South Carolina,Playing in the water,M,12.0,N
2491,October,2014,Unprovoked,USA,Florida,Fishing,F,40.0,N
2494,September,2013,Unprovoked,USA,Florida,Surfing,M,50.0,N
2495,October,2012,Unprovoked,USA,California,Windsurfing,M,42.0,N
2496,September,2012,Unprovoked,USA,Florida,Surfing,M,22.0,N
2497,September,2012,Unprovoked,USA,Florida,Surfing,M,32.0,N
2498,July,2012,Unprovoked,USA,Hawaii,Surfing,M,44.0,N
2499,June,2012,Unprovoked,USA,Florida,Swimming,M,6.0,N
2502,March,2012,Unprovoked,USA,Florida,Surfing,M,21.0,N
2507,July,2010,Unprovoked,USA,Florida,Surfing,M,55.0,N
2510,August,2009,Unprovoked,USA,California,Surfing,M,22.0,N
2511,May,2009,Provoked,USA,Florida,Swimming,M,22.0,N
2512,April,2009,Unprovoked,USA,California,Spearfishing,M,22.0,N
2519,September,2007,Unprovoked,USA,California,Surfing,F,22.0,N
2520,July,2007,Unprovoked,USA,Hawaii,Snorkeling,M,36.0,N
2521,April,2007,Unprovoked,USA,Florida,Playing on a sandbar,M,7.0,N
2522,October,2006,Unprovoked,USA,Oregon,Surfing,M,22.0,N
2523,July,2006,Unprovoked,USA,South Carolina,Swimming,F,21.0,N
2527,May,2004,Unprovoked,USA,California,Surfing,M,44.0,N
2528,March,2004,Unprovoked,USA,Florida,Swimming,M,61.0,N
2529,August,2003,Unprovoked,USA,California,"Swimming, wearing black wetsuit & swim fins",F,50.0,Y
2530,July,2002,Unprovoked,USA,North Carolina,Swimming,F,15.0,N
2532,August,2001,Unprovoked,USA,Florida,Surfing,M,17.0,N
2537,October,1999,Unprovoked,USA,Hawaii,"Surfing, lying on surfboard",M,16.0,N
2543,November,1997,Unprovoked,USA,Florida,Swimming,M,32.0,N
2547,October,1995,Unprovoked,USA,Florida,Surfing,M,39.0,N
2548,August,1995,Unprovoked,USA,North Carolina,Swimming,M,23.0,N
2549,July,1995,Unprovoked,USA,Florida,Standing,M,18.0,N
2552,November,1994,Unprovoked,USA,Hawaii,"Surfing, paddling seawards",F,34.0,N
2553,May,1994,Unprovoked,USA,Florida,Surfing,M,22.0,N
2557,March,1993,Unprovoked,USA,California,Free diving & spearfishing (ascending),M,55.0,N
2559,October,1989,Unprovoked,USA,Texas,Surfing,M,12.0,N
2560,August,1989,Unprovoked,USA,Florida,Swimming,M,21.0,N
2561,April,1989,Unprovoked,USA,Washington,Surfing (lying prone on his board),M,22.0,N
2562,October,1988,Unprovoked,USA,Florida,Surfing,M,30.0,N
2563,July,1987,Unprovoked,USA,Florida,Surfing,M,27.0,N
2564,July,1987,Unprovoked,USA,Texas,Wading,F,16.0,N
2570,October,1983,Unprovoked,USA,Florida,Surfing,M,16.0,N
2574,July,1982,Unprovoked,USA,Florida,Swimming,F,19.0,N
2575,June,1982,Unprovoked,USA,South Carolina,Swimming,M,20.0,N
2577,May,1981,Unprovoked,USA,Florida,Free diving,M,32.0,N
2588,March,1968,Unprovoked,USA,Florida,Surfing,M,20.0,N
2594,January,1965,Provoked,USA,California,Surfing,M,15.0,N
2598,January,1964,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,21.0,N
2611,June,1958,Provoked,USA,Florida,"Swimming, towing the shark",M,22.0,N
2688,August,2023,Unprovoked,USA,New York,Wading,F,65.0,N
2689,July,2023,Unprovoked,USA,New York,Swimming,M,49.0,N
2690,May,2023,Unprovoked,USA,Florida,Spearfishing,M,20.0,N
2694,July,2022,Unprovoked,USA,New York,Surfing,M,16.0,N
2695,June,2022,Unprovoked,USA,New York,Swimming,M,22.0,N
2696,April,2022,Provoked,USA,New Jersey,Feeding sharks & stingrays,F,12.0,N
2697,November,2021,Unprovoked,USA,Hawaii,Spearfishing,F,27.0,N
2699,July,2021,Unprovoked,USA,Florida,Spearfishing,M,36.0,Y
2700,May,2021,Unprovoked,USA,Florida,Wading,F,21.0,N
2701,January,2021,Unprovoked,USA,Hawaii,Swimming,F,68.0,N
2702,October,2020,Unprovoked,USA,Florida,Body Surfing,M,31.0,N
2703,August,2020,Unprovoked,USA,Florida,Standing,M,23.0,N
2704,July,2020,Unprovoked,USA,Maine,Swimming,F,63.0,Y
2708,August,2019,Provoked,USA,Florida,Surfing,M,40.0,N
2711,June,2019,Unprovoked,USA,Florida,Surfing,M,18.0,N
2713,August,2017,Provoked,USA,Massachusetts,Fishing,M,34.0,N
2716,April,2017,Unprovoked,USA,Florida,Surfing,M,17.0,N
2719,October,2015,Unprovoked,USA,Hawaii,Swimming,M,44.0,N
2721,July,2015,Provoked,USA,California,Kayak Fishing,M,31.0,N
2723,May,2015,Unprovoked,USA,Florida,Swimming,M,22.0,N
2729,July,2014,Unprovoked,USA,North Carolina,Swimming,M,15.0,N
2730,July,2014,Unprovoked,USA,Hawaii,Swimming,M,61.0,N
2731,May,2014,Unprovoked,USA,South Carolina,Swimming,F,40.0,N
2734,September,2013,Unprovoked,USA,Florida,Standing,M,7.0,N
2739,October,2011,Unprovoked,USA,Oregon,Surfing,M,41.0,N
2745,July,2010,Unprovoked,USA,South Carolina,Swimming,M,10.0,N
2747,November,2009,Unprovoked,USA,Florida,Surfing,F,27.0,N
2750,September,2008,Unprovoked,USA,Hawaii,Surfing,M,40.0,N
2751,July,2008,Unprovoked,USA,South Carolina,Surfing,M,24.0,N
2752,April,2008,Unprovoked,USA,California,Swimming,M,66.0,Y
2753,June,2007,Provoked,USA,Florida,Removing hook from shark,M,22.0,N
2756,May,2006,Provoked,USA,Hawaii,Spearfishing,M,15.0,N
2759,June,2005,Unprovoked,USA,South Carolina,Boogie boarding,F,11.0,N
2760,May,2005,Unprovoked,USA,Florida,Crouching in 2' of water,F,22.0,N
2763,May,2004,Unprovoked,USA,Texas,Wading,M,16.0,N
2767,September,2003,Unprovoked,USA,Florida,Surfing,M,17.0,N
2768,June,2003,Unprovoked,USA,Florida,Surfing,M,17.0,N
2769,June,2003,Unprovoked,USA,Johnston Atoll,Swimming,M,51.0,N
2770,April,2003,Unprovoked,USA,Florida,Surfing,M,50.0,N
2772,November,2002,Unprovoked,USA,Hawaii,Swimming,F,34.0,N
2773,August,2002,Unprovoked,USA,Alabama,Swimming,F,29.0,N
2776,September,2001,Unprovoked,USA,Virginia,Swimming,M,10.0,Y
2779,March,2001,Unprovoked,USA,Florida,Surfing,M,22.0,N
2781,April,2000,Unprovoked,USA,Florida,Boogie boarding / wading,M,22.0,N
2782,March,2000,Unprovoked,USA,Florida,Fishing,M,22.0,N
2788,October,1995,Unprovoked,USA,Florida,Surfing,M,17.0,N
2789,September,1995,Unprovoked,USA,Florida,Surfing,M,14.0,N
2792,August,1995,Unprovoked,USA,Florida,Wading,M,20.0,N
2794,February,1994,Provoked,USA,Hawaii,Fishing,M,22.0,N
2796,February,1991,Unprovoked,USA,Oregon,Surfing,M,38.0,N
2799,July,1989,Unprovoked,USA,Florida,Surfing,M,16.0,N
2800,September,1988,Unprovoked,USA,Florida,Surfing,M,21.0,N
2801,August,1988,Unprovoked,USA,California,Surfing,M,27.0,N
2802,May,1987,Unprovoked,USA,Florida,Surfing,M,22.0,N
2803,November,1986,Unprovoked,USA,Florida,Surfing,M,23.0,N
2805,June,1983,Unprovoked,USA,Florida,Surfing & dangling foot in water amid baitfish,M,21.0,N
2806,February,1982,Unprovoked,USA,California,Scuba diving (submerged),M,22.0,N
2811,August,1979,Unprovoked,USA,Florida,Kayaking,M,49.0,N
2816,August,1974,Unprovoked,USA,California,Surfing,M,22.0,N
2829,July,1964,Provoked,USA,Florida,Tagging sharks,M,22.0,N
2839,August,1962,Unprovoked,USA,New Jersey,Standing,M,24.0,N
2840,June,1962,Unprovoked,USA,California,Escaping from Alacatraz,M,31.0,N
2847,August,1960,Unprovoked,USA,New Jersey,Standing in knee-deep water,M,24.0,N
2848,June,1960,Unprovoked,USA,Georgia,Swimming,M,24.0,N
2849,May,1960,Unprovoked,USA,California,Swimming,F,16.0,N
2856,July,1958,Unprovoked,USA,Florida,"Swimming, ducking for shells in water 0.9 m deep",M,8.0,N
2859,April,1957,Provoked,USA,Florida,Standing,M,17.0,N
2864,September,1953,Unprovoked,USA,Hawaii,Crabbing,M,22.0,N
2936,July,2022,Unprovoked,USA,New York,Surfing,M,41.0,N
2937,March,2021,Unprovoked,USA,Florida,Body surfing,M,9.0,N
2940,July,2020,Unprovoked,USA,Florida,Wading,F,14.0,N
2944,April,2019,Unprovoked,USA,Hawaii,Swimming,M,23.0,N
2946,October,2018,Unprovoked,USA,California,Diving / Filming,M,22.0,N
2947,August,2018,Unprovoked,USA,North Carolina,Standing,M,16.0,N
2951,September,2017,Unprovoked,USA,Florida,Surfing,M,22.0,N
2952,September,2017,Unprovoked,USA,Florida,Surfing,M,28.0,N
2953,April,2017,Unprovoked,USA,Florida,Swimming,F,17.0,N
2954,September,2016,Unprovoked,USA,Florida,Surfing,M,43.0,N
2957,November,2015,Unprovoked,USA,Hawaii,Swimming,M,54.0,N
2958,September,2015,Provoked,USA,California,Kayak Fishing,M,29.0,N
2959,May,2015,Unprovoked,USA,Florida,Swimming,F,13.0,N
2962,March,2014,Unprovoked,USA,Florida,Surfing,M,9.0,N
2964,September,2013,Unprovoked,USA,Florida,Swimming,M,21.0,N
2965,September,2013,Unprovoked,USA,Florida,Casting a net,M,9.0,N
2966,August,2013,Unprovoked,USA,Hawaii,Surfing,M,16.0,N
2967,August,2013,Unprovoked,USA,Hawaii,Kiteboarding,F,19.0,N
2971,September,2012,Unprovoked,USA,Florida,Surfing,M,35.0,N
2978,July,2010,Unprovoked,USA,North Carolina,Swimming,F,13.0,N
2987,September,2008,Unprovoked,USA,Florida,Surfing,M,15.0,N
2989,April,2008,Provoked,USA,Florida,Surfing,M,21.0,N
2991,February,2008,Unprovoked,USA,Florida,Surf-skiing,M,22.0,N
2992,August,2007,Unprovoked,USA,Florida,Jumped into the water,F,19.0,N
2993,June,2007,Unprovoked,USA,Florida,Swimming,F,22.0,N
2994,March,2007,Provoked,USA,Florida,Shark fishing,M,22.0,N
3003,September,2005,Unprovoked,USA,Florida,Standing / Surfing,M,62.0,N
3005,February,2005,Provoked,USA,Florida,Spearfishing,M,22.0,N
3008,August,2004,Unprovoked,USA,Florida,Swimming,M,47.0,N
3009,July,2004,Unprovoked,USA,Texas,Swimming,F,19.0,N
3011,May,2004,Unprovoked,USA,Florida,Boogie-boarding / swimming,M,9.0,N
3012,October,2003,Unprovoked,USA,Florida,Surfing,M,18.0,N
3013,May,2003,Unprovoked,USA,Florida,Surfing,M,18.0,N
3019,August,2001,Unprovoked,USA,Florida,Surfing,M,19.0,N
3020,June,2001,Unprovoked,USA,South Carolina,Wading,F,29.0,N
3023,July,2000,Unprovoked,USA,Florida,Swimming,M,41.0,N
3025,September,1999,Unprovoked,USA,Florida,Surfing,M,13.0,N
3026,September,1999,Provoked,USA,Florida,Wading,M,7.0,N
3027,June,1999,Unprovoked,USA,Florida,Swimming,M,41.0,N
3028,March,1999,Unprovoked,USA,Hawaii,"Swimming, towing a kayak",F,29.0,Y
3030,December,1997,Unprovoked,USA,Florida,Swimming,M,8.0,N
3032,May,1997,Unprovoked,USA,Florida,Spearfishing,M,35.0,N
3037,August,1995,Unprovoked,USA,South Carolina,On a float,M,44.0,N
3039,September,1994,Unprovoked,USA,South Carolina,Swimming,F,30.0,N
3045,July,1989,Unprovoked,USA,Texas,Playing,F,9.0,N
3046,September,1988,Unprovoked,USA,Florida,Walking,F,22.0,N
3048,May,1988,Unprovoked,USA,Florida,Surfing / treading water,M,29.0,N
3050,July,1984,Unprovoked,USA,Florida,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water",M,30.0,N
3053,February,1982,Unprovoked,USA,Hawaii,Wading,F,22.0,N
3054,May,1981,Unprovoked,USA,Hawaii,"Scuba diving, reportedly also spearfishing",M,22.0,Y
3059,April,1979,Unprovoked,USA,Florida,Body surfing,M,8.0,N
3062,August,1975,Unprovoked,USA,Florida,Floating on a small orange raft,M,20.0,N
3065,November,1974,Unprovoked,USA,Florida,Standing,M,24.0,N
3070,May,1969,Provoked,USA,Texas,Surf-fishing,M,22.0,N
3071,August,1969,Provoked,USA,Florida,Fishing,M,21.0,N
3076,June,1966,Unprovoked,USA,Texas,Swimming,M,18.0,N
3079,August,1964,Unprovoked,USA,Florida,Swimming,M,14.0,N
3107,July,1953,Provoked,USA,California,Fishing from market fishboat Sea Spray,M,22.0,N
3112,July,1950,Unprovoked,USA,Florida,"Goggle-diving for seaweeds, but standing in water",M,21.0,N
3180,June,2023,Unprovoked,USA,Florida,Fishing,M,22.0,N
3181,October,2022,Provoked,USA,Florida,Fishing,M,15.0,N
3186,June,2021,Unprovoked,USA,North Carolina,Swimming,F,7.0,N
3191,August,2019,Unprovoked,USA,Hawaii,Swimming/ Treading water,F,26.0,N
3197,May,2017,Provoked,USA,South Carolina,Touching a shark,F,20.0,N
3200,July,2016,Provoked,USA,Massachusetts,Fishing,M,59.0,N
3201,November,2015,Unprovoked,USA,Florida,Surfing,M,28.0,N
3203,June,2015,Unprovoked,USA,North Carolina,Body surfing?,M,47.0,N
3204,June,2015,Unprovoked,USA,North Carolina,Swimming,M,6.0,N
3206,September,2014,Provoked,USA,Florida,Fishing,M,52.0,N
3207,August,2014,Unprovoked,USA,South Carolina,Standing,F,22.0,N
3209,August,2014,Unprovoked,USA,Florida,Boogie boarding,M,8.0,N
3212,August,2013,Unprovoked,USA,Florida,Boogie boarding,F,11.0,N
3216,May,2013,Unprovoked,USA,Hawaii,Diving,M,32.0,N
3218,April,2013,Unprovoked,USA,Florida,Swimming,M,50.0,N
3223,September,2011,Unprovoked,USA,California,Surfing,M,37.0,N
3226,July,2011,Unprovoked,USA,Texas,Wade Fishing,M,14.0,N
3227,March,2011,Provoked,USA,Texas,"Standing, holding shark pup",M,22.0,N
3231,October,2010,Unprovoked,USA,California,Body boarding,M,19.0,Y
3235,November,2009,Unprovoked,USA,California,Fishing,M,31.0,N
3237,May,2009,Unprovoked,USA,Florida,Surfing,M,49.0,N
3241,September,2008,Unprovoked,USA,California,Surfing,M,22.0,N
3244,April,2008,Unprovoked,USA,Florida,Surfing,M,30.0,N
3245,August,2007,Unprovoked,USA,South Carolina,Swimming,M,30.0,N
